Date,250092006_1,250092006_3,250095005_1,250095005_3,250096001_1,250213003_3,250230005_1,250230005_2,250230005_3,250250002_1,250250042_1,250250042_3,250250043_1,250250043_2,250250043_3,250250044_1,250250044_3,250250044_4,330150014_1,330150014_6,330150018_1,330150018_2,330150018_3,330150018_4
2/23/2016,,3.7,,3.4,,,,,3.9,,,7.9,,5.4,5,,5.2,7.4,,2.5,,,4,
2/25/2016,,3.4,,4.1,,,,,5.5,,,2.9,6.3,,1.7,,4.5,4.1,,4.3,,,1.5,
2/26/2016,,1.5,,2.3,,,,,-1.6,,,5,5.5,4.6,3.7,,3.5,5.1,,3.9,,,1.2,
2/28/2016,,9.2,,7.5,,,,,8.6,,,11.7,7,8.2,9.7,,8.9,10.5,,7.1,,,7.3,
2/29/2016,,9,,8.4,,,,,8.3,,,9.3,10,9,9.1,,10.2,8.2,,6.8,,,8.1,
3/2/2016,,4.5,,4.5,,,,,5,,,6.6,8.7,6.7,6,,6.2,6.6,,5.4,,,3.2,
3/3/2016,,2.4,,2.7,,,,,1.6,,,7.4,4.5,4.2,5.7,,3.8,7.8,,1.9,,,3.3,
3/5/2016,,4.4,,5.1,,,,,3.6,,,9.7,4.5,4.6,6.7,,6.2,7.7,,3.7,,,4.2,
3/6/2016,,8.1,,7.2,,,,,7.2,,,9.6,6.1,6.1,8.4,,8.2,9.2,,6.9,,,8.4,
3/8/2016,,13.9,,10.8,,,,,16.5,,,17.2,13.6,14,14,,15.5,16.8,,8.6,,,11.4,
3/9/2016,,16.7,,12.7,,,,,15.5,,,16.1,13.5,12,15,,16.2,14,,10,,,10.3,
3/11/2016,,3.7,,3,,,,,1.9,,,3.8,6.1,4.8,2.3,,4,4.1,,1.4,,,0.3,
3/12/2016,,5,,2.8,,,,,3.4,,,7,3.1,3.5,6.4,,4,5.7,,3.9,,,4,
3/14/2016,,4.8,,4.2,,,,,4.5,,,7.5,5.8,3.7,4.1,,4.5,6.4,,5.5,,,3,
3/15/2016,,2.3,,1.5,,,,,0.4,,,4,2.7,3.7,1.7,,2.6,2.7,,3,,,0.3,
3/17/2016,,2.6,,3.1,,,,,1.4,,,3.7,4.7,2.5,2.2,,5.1,4.1,,3,,,2,
3/18/2016,,3.1,,2.3,,,,,1.6,,,4.2,5.7,5.7,3.2,,4.2,5,,2.4,,,2.6,
3/20/2016,,1.3,,2.3,,,,,1.2,,,6,3.3,4.8,1.7,,3,5.4,,2,,,3.5,
3/21/2016,,2.2,,3.8,,,,,1.4,,,5.9,5.9,6.7,8.9,,6,8,,2.9,,,4,
3/23/2016,,8.8,,7.9,,,,,7.5,,,8.7,8.7,7.2,8.8,,10,9.8,,7.8,,,6,
3/24/2016,,7.2,,4.1,,,,,5.2,,,7.6,4.9,3.2,4.7,,3.6,6.1,,2.9,,,4.2,
3/26/2016,,4.5,,4.3,,,,,3.5,,,3.9,2.7,2.2,3.3,,3,4.5,,2,,,3.9,
3/27/2016,,4.6,,5.3,,,,,3.3,,,7.4,2.7,2.7,4.5,,3.5,4.5,,2.6,,,7,
